"sep=,",,,,,,,,,,,
url,started,ended,totalTimeMs,ttfbMs,redirects,contentLength,downloadedLength,downloadSpeedMbps,downloadSpeedWithTtfbMbps,error,
https://cf-ipfs.com/ipfs/QmbRGvK5nAnmLyd3kMu6Qq2YQGTpMjhi5n3GwWrPH2Kj5M,2022-07-28 08:22:12.204496,2022-07-28 08:23:59.216713,107012,2764,1,157286400,157286400,1.43887652520912,1.40171195753747,,
https://cloudflare-ipfs.com/ipfs/QmbRGvK5nAnmLyd3kMu6Qq2YQGTpMjhi5n3GwWrPH2Kj5M,2022-07-28 08:23:59.221889,2022-07-28 08:24:06.771055,7549,154,0,157286400,157286400,20.2839756592292,19.8701814809909,,
https://ipfs.infura.io/ipfs/QmbRGvK5nAnmLyd3kMu6Qq2YQGTpMjhi5n3GwWrPH2Kj5M,2022-07-28 08:24:06.771754,2022-07-28 08:25:10.387262,63615,0,1,157286400,130809856,0,0,HttpException: Connection closed while receiving data, uri = https://bafybeigck4zfdzlgiwigwzvrsaofj6b6uw4hkatnmpdf4uxptjvilkjhyq.ipfs.infura-ipfs.io/
,,,,,,,,,,,
https://cf-ipfs.com/ipfs/QmbRGvK5nAnmLyd3kMu6Qq2YQGTpMjhi5n3GwWrPH2Kj5M,2022-07-28 08:32:06.825295,2022-07-28 08:34:05.449236,118623,1489,1,157286400,157286400,1.28058462956955,1.26451025517817,,
https://cloudflare-ipfs.com/ipfs/QmbRGvK5nAnmLyd3kMu6Qq2YQGTpMjhi5n3GwWrPH2Kj5M,2022-07-28 08:34:05.457145,2022-07-28 08:34:30.822750,25365,6693,0,157286400,157286400,8.03341902313625,5.91366055588409,,
https://ipfs.infura.io/ipfs/QmbRGvK5nAnmLyd3kMu6Qq2YQGTpMjhi5n3GwWrPH2Kj5M,2022-07-28 08:34:30.825763,2022-07-28 08:34:45.494454,14668,1472,1,157286400,157286400,11.3670809336162,10.2263430597218,,
,,,,,,,,,,,
https://cf-ipfs.com/ipfs/QmbRGvK5nAnmLyd3kMu6Qq2YQGTpMjhi5n3GwWrPH2Kj5M,2022-07-28 08:38:04.053646,2022-07-28 08:38:12.936746,8882,950,1,157286400,157286400,18.910741301059,16.888088268408,,
https://cloudflare-ipfs.com/ipfs/QmbRGvK5nAnmLyd3kMu6Qq2YQGTpMjhi5n3GwWrPH2Kj5M,2022-07-28 08:38:12.944580,2022-07-28 08:38:19.107218,6162,90,0,157286400,157286400,24.703557312253,24.3427458617332,,
https://ipfs.infura.io/ipfs/QmbRGvK5nAnmLyd3kMu6Qq2YQGTpMjhi5n3GwWrPH2Kj5M,2022-07-28 08:38:19.108098,2022-07-28 08:39:19.427275,60319,2567,1,157286400,157286400,2.59731264718105,2.48677862696663,,
,,,,,,,,,,,
,,,,1734.33333333333,1,157286400,157286400,7.21006748527922,6.51810349370789,,
,,,,2312.33333333333,0,157286400,157286400,17.6736506648728,16.7088626328694,,
,,,,1346.33333333333,1,157286400,148460885.333333,4.65479786026577,4.23770722889616,,
